Company,Email,Phone,Address,City,State,SubNiche,Urgency,Score,Website,Metro,Created
G&A Partners - Phoenix,info@gnapartners.com,(602) 932-9972,"4222 E Thomas Rd #120, Phoenix, AZ 85018, USA",Phoenix,AZ,HR & Staffing,10,95,https://www.gnapartners.com/locations/phoenix?utm_source=gmb&utm_medium=organic,Phoenix,2026-06-15
Expect Technical Staffing,chris@expectllc.com,(303) 946-3436,"232 N Broadway Unit 9, Denver, CO 80203, USA",Denver,CO,HR & Staffing,10,95,https://expectllc.com/,Denver,2026-06-15
Staff Force Personnel Services - Houston/Northwest,branch38@staff-force.com,(713) 690-9696,"13240 Hempstead Rd #224, Houston, TX 77040, USA",Houston,TX,HR & Staffing,10,95,http://www.staff-force.com/,Houston,2026-06-15
Elwood Staffing,recruiter.name@elwoodstaffing.com,(713) 932-9318,"1400 W Sam Houston Pkwy N Ste 105, Houston, TX 77043, USA",Houston,TX,HR & Staffing,10,95,https://www.elwoodstaffing.com/contact-us-and-locations/TX/Houston,Houston,2026-06-15
Inman Technologies | Managed IT Services & IT Support Company in Fort Worth,info@inmantechnologies.com,(682) 882-6348,"ITS, 1617 Park Pl Ave Suite 110, Fort Worth, TX 76110, USA",Dallas,TX,Managed IT,10,95,https://inmantechnologies.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Dallas-Fort Worth,2026-06-15
Energize HR | Align Your Team. Achieve Your Vision.,ben@mccreamarketinggroup.com,(346) 249-7920,"825 Town & Country Ln Ste 1200, Houston, TX 77024, USA",Houston,TX,HR & Staffing,10,95,http://energizehr.com/,Houston,2026-06-15
"OmniForce Solutions, LLC",info@omniforcesolutions.com,(713) 487-7249,"909 Texas St #1701, Houston, TX 77002, USA",Houston,TX,HR & Staffing,10,95,http://www.omniforcesolutions.com/,Houston,2026-06-15
Frontline Source Group,corporate@frtline.com,(832) 371-6131,"700 Milam St #1300, Houston, TX 77002, USA",Houston,TX,HR & Staffing,10,95,https://www.frontlinesourcegroup.com/houston-downtown.html,Houston,2026-06-15
IT GOAT,info@itgoat.com,(833) 348-4628,"5005 Lyndon B Johnson Fwy Ste 1550, Dallas, TX 75244, USA",Dallas,TX,Managed IT,10,95,https://www.itgoat.com/?utm_source=gmb,Dallas-Fort Worth,2026-06-15
TalentWell,recruitment@talentwellcorp.com,(832) 984-9653,"609 Main St 25th floor, Houston, TX 77002, USA",Houston,TX,HR & Staffing,10,95,http://www.talentwellcorp.com/,Houston,2026-06-15
Liongard,peopleculture@liongard.com,(800) 332-0460,"4201 Main St Ste 200-102, Houston, TX 77002, USA",Houston,TX,Managed IT,10,95,https://www.liongard.com/,Houston,2026-06-15
High Country Search Group,me@gmail.com,(720) 221-9616,"900 E Louisiana Ave #201, Denver, CO 80210, USA",Denver,CO,HR & Staffing,10,95,http://www.highcountrysearch.com/,Denver,2026-06-15
Lakeshore Talent,info@lakeshoretalent.com,(303) 483-1100,"501 S Cherry St Suite 1100, Denver, CO 80246, USA",Denver,CO,HR & Staffing,10,95,http://www.lakeshoretalent.com/,Denver,2026-06-15
Professional Alternatives,employers@proalt.com,(713) 572-2100,"1800 W Loop S #1050, Houston, TX 77027, USA",Houston,TX,HR & Staffing,10,95,https://www.proalt.com/locations/houston/?utm_source=google&utm_medium=business+&utm_campaign=2026-locations-houston,Houston,2026-06-15
Katalism Cybersecurity - IT Support & Managed IT Services Dallas,sales@katalism.com,(469) 535-6400,"14114 Dallas Pkwy #230, Dallas, TX 75254, USA",Dallas,TX,Managed IT,10,95,https://katalism.com/,Dallas-Fort Worth,2026-06-15
Express Credit Auto Warranty Department,wecare@ecaautogroup.com,(405) 947-3120,"3042 W I 44 Service Rd, Oklahoma City, OK 73112, USA",Oklahoma City,OK,Merchant Services,10,95,http://www.expresscreditauto.com/,Oklahoma City,2026-06-15
Hunter+Sage,recruiter@hunterandsage.com,(832) 252-6600,"1800 W Loop S #1200, Houston, TX 77027, USA",Houston,TX,HR & Staffing,10,95,http://www.hunterandsage.com/,Houston,2026-06-15
"Action Credit, San Antonio 2",info@actioncredit.net,(210) 845-1161,"941 S General McMullen #103, San Antonio, TX 78237, USA",San Antonio,TX,Merchant Services,10,95,http://www.actioncredit.com/,San Antonio,2026-06-15
"Quality Labor Management LLC, Pheonix",info@myqlm.com,(623) 303-6674,"437 S 48th St Ste 107, Tempe, AZ 85281, USA",Phoenix,AZ,HR & Staffing,10,95,https://myqlm.com/our-locations/phoenix-arizona-construction-industrial-skilled-staffing/,Phoenix,2026-06-15
The Liberty Group,flags@2x.webp,(512) 225-1860,"9101 Burnet Rd #110, Austin, TX 78758, USA",Austin,TX,HR & Staffing,10,95,http://www.thelibertygroup.com/,Austin,2026-06-15
Citywide Staffing,eben@eyebytes.com,(303) 696-1400,"695 S Colorado Blvd, Denver, CO 80246, USA",Denver,CO,HR & Staffing,10,95,http://citywidestaffing.com/,Denver,2026-06-15
SMB Integrations,sales@smbintegrations.com,(713) 589-8555,"2100 W Loop S Suite 800, Houston, TX 77027, USA",Houston,TX,Managed IT,10,95,https://smbintegrations.com/,Houston,2026-06-15
Partners Personnel,shape@2x.png,(720) 994-4060,"10065 E Harvard Ave #805, Denver, CO 80231, USA",Denver,CO,HR & Staffing,10,95,https://www.partnerspersonnel.com/pj_locations/denver-co/,Denver,2026-06-15
Postcards-Direct LLC,monica@emokc.com,(405) 524-4004,"2716 N Pennsylvania Ave, Oklahoma City, OK 73107, USA",Oklahoma City,OK,Merchant Services,10,95,https://emokc.com/,Oklahoma City,2026-06-15
Aegis Security and Technology,service@aegissecurity.tech,(918) 500-4239,"8990 S Sheridan Rd suite b, Tulsa, OK 74133, USA",Tulsa,OK,Managed IT,10,95,https://aegissecurity.tech/,Tulsa,2026-06-15
AHS Staffing,marketing@ahsstaffing.com,(405) 509-6200,"3009 Astoria Ct, Edmond, OK 73034, USA",Oklahoma City,OK,HR & Staffing,10,95,http://www.ahsstaffing.com/,Oklahoma City,2026-06-15
Peak Performers,recruiter@peakperformers.org,(888) 275-6915,"4902 Grover Ave, Austin, TX 78756, USA",Austin,TX,HR & Staffing,10,95,https://www.peakperformers.org/,Austin,2026-06-15
Express Employment Professionals,jobs.austintxsouth@expresspros.com,(512) 416-6666,"802 W St Elmo Rd, Austin, TX 78745, USA",Austin,TX,HR & Staffing,10,95,https://www.expresspros.com/us-texas-austin-south,Austin,2026-06-15
Express Employment Professionals,jobs.denverco@expresspros.com,(303) 861-9100,"900 N Grant St #120, Denver, CO 80203, USA",Denver,CO,HR & Staffing,10,95,https://www.expresspros.com/us-colorado-denver-downtown,Denver,2026-06-15
Talent Corps,info@talentcorps.com,(512) 866-9500,"9811 S I-35 Frontage Rd Bldg 6 Suite 100, Austin, TX 78744, USA",Austin,TX,HR & Staffing,10,95,http://www.talentcorps.com/,Austin,2026-06-15
Staff Force Personnel Services - Austin,branch38@staff-force.com,(512) 458-5500,"4631 Airport Blvd #131, Austin, TX 78751, USA",Austin,TX,HR & Staffing,10,95,http://www.staff-force.com/,Austin,2026-06-15
Adecco Staffing,u003e@adeccogroup.com,(512) 454-5211,"2438 W Anderson Ln. Ste A-2, Austin, TX 78757, USA",Austin,TX,HR & Staffing,10,95,https://www.adecco.com/en-us/locations/texas/austin/adecco-staffing-austin-tx-adus_027673,Austin,2026-06-15
"ATI Solutions, Inc",hello@atisolutionsinc.com,(737) 301-9117,"1401 Lavaca St #579, Austin, TX 78701, USA",Austin,TX,HR & Staffing,10,95,https://atisolutionsinc.com/,Austin,2026-06-15
Accounting & Finance Professionals Inc.,recruiter@afprofessionals.com,(602) 306-4473,"410 N 44th St #145, Phoenix, AZ 85008, USA",Phoenix,AZ,HR & Staffing,10,95,http://www.afprofessionals.com/,Phoenix,2026-06-15
BrightMind Consulting Group,layer@2x.svg,(713) 844-8526,"2339 Commerce St Ste 183, Houston, TX 77002, USA",Houston,TX,Managed IT,10,95,https://brightmindconsultinggroup.com/,Houston,2026-06-15
Payment 1 Loans - Oklahoma City,okc@payment1.com,(405) 768-2181,"4636 S Pennsylvania Ave, Oklahoma City, OK 73119, USA",Oklahoma City,OK,Merchant Services,10,95,https://payment1.com/locations/personal-title-loans-oklahoma-city-ok/,Oklahoma City,2026-06-15
Scion Staffing,close_side_menu@2x.png,(512) 291-3199,"8120 Research Blvd Ste 105 #275, Austin, TX 78758, USA",Austin,TX,HR & Staffing,10,95,https://www.scionstaffingaustin.com/,Austin,2026-06-15
The A List Staffing,jobs@thealiststaffing.com,(512) 458-5271,"505 E Huntland Dr #190, Austin, TX 78752, USA",Austin,TX,HR & Staffing,10,95,http://www.thealiststaffing.com/,Austin,2026-06-15
Frontline Source Group,corporate@frtline.com,(512) 328-5627,"100 Congress Ave. Ste 2000, Austin, TX 78701, USA",Austin,TX,HR & Staffing,10,95,https://www.frontlinesourcegroup.com/austin.html,Austin,2026-06-15
American Gateways - San Antonio,erikag@americangateways.org,(210) 521-4768,"2300 W Commerce St #313, San Antonio, TX 78207, USA",San Antonio,TX,Merchant Services,10,95,http://www.americangateways.org/,San Antonio,2026-06-15
Money Services OKC,dave@lab6.com,(405) 521-0235,"109 NW 22nd St, Oklahoma City, OK 73103, USA",Oklahoma City,OK,Merchant Services,10,95,https://moneyservicesokc.com/,Oklahoma City,2026-06-15
Entourage Model and Talent Agency,entourageagency123@gmail.com,(210) 733-5007,"111 Congress Ave. Ste 500, Austin, TX 78701, USA",Austin,TX,HR & Staffing,10,95,http://www.entourageagency.com/,Austin,2026-06-15
Openwork,hi@openwork.com,(512) 921-9276,"3624 N Hills Dr # D-101, Austin, TX 78731, USA",Austin,TX,HR & Staffing,10,95,http://www.openwork.com/,Austin,2026-06-15
PRO EM National Event Services,jobs@proem.org,(480) 507-0999,"1450 E Grant St, Phoenix, AZ 85034, USA",Phoenix,AZ,HR & Staffing,10,95,https://proem.org/,Phoenix,2026-06-15
Employment Solutions,denver@employmentsolutions.com,(303) 455-4414,"2460 W 26th Ave #250c, Denver, CO 80211, USA",Denver,CO,HR & Staffing,10,95,https://employmentsolutions.com/,Denver,2026-06-15
Vanessa Gonzales - Gateway Mortgage,vanessa.gonzales@gatewayloan.com,(210) 794-9022,"70 NE Interstate 410 Loop Ste. 160, San Antonio, TX 78216, USA",San Antonio,TX,Merchant Services,10,95,https://www.gatewayfirst.com/locations-atms/vanessa-gonzales?utm_source=google&utm_medium=yext&utm_campaign=yext_referral,San Antonio,2026-06-15
Arrowhead Consulting | Business Consulting Tulsa,contactus@arrowheadconsulting.com,(918) 631-7321,"5314 S Yale Ave Suite 600, Tulsa, OK 74135, USA",Tulsa,OK,Managed IT,10,95,https://www.arrowheadconsulting.com/,Tulsa,2026-06-15
Staffmasters,keely.flores@staffmastersok.com,(405) 724-9893,"8816 S Pennsylvania Ave, Oklahoma City, OK 73159, USA",Oklahoma City,OK,HR & Staffing,10,95,http://www.staffmastersok.com/,Oklahoma City,2026-06-15
PWR Technologies,sales@pwrtechnologies.com,(469) 609-3537,"4131 N Central Expy Ste 900, Dallas, TX 75204, USA",Dallas,TX,Managed IT,10,95,https://www.pwrtechnologies.com/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,Dallas-Fort Worth,2026-06-15
Texas Global Consulting,hr@texasglobalconsulting.org,(210) 670-5407,"1603 Babcock Rd #258, San Antonio, TX 78229, USA",San Antonio,TX,Managed IT,10,95,https://texasglobalconsulting.org/,San Antonio,2026-06-15
LeadingEdge Personnel,sat@leadingedgepersonnel.com,(512) 231-1888,"7800 N Mopac Expy Ste 320, Austin, TX 78759, USA",Austin,TX,HR & Staffing,10,95,http://www.leadingedgepersonnel.com/,Austin,2026-06-15
KP Staffing,fortworth@kpstaffing.com,(817) 831-0191,"3501 Airport Fwy, Fort Worth, TX 76111, USA",Dallas,TX,HR & Staffing,10,95,https://www.kpstaffing.com/our-office-locations/fort-worth-office/,Dallas-Fort Worth,2026-06-15
Paydayz Staffing Solutions-OKC Office,impallari@gmail.com,(405) 634-2222,"5224 S Western Ave, Oklahoma City, OK 73109, USA",Oklahoma City,OK,HR & Staffing,10,95,http://www.paydayzstaffing.com/,Oklahoma City,2026-06-15
Staff Force Personnel Services - Oklahoma City,branch38@staff-force.com,(405) 724-6300,"1413 W I-240 Service Road Ste D, Oklahoma City, OK 73159, USA",Oklahoma City,OK,HR & Staffing,10,95,https://staff-force.com/,Oklahoma City,2026-06-15
On Track Staffing,info@otstaffing.com,(405) 286-9414,"2601 Northwest Expy #110e, Oklahoma City, OK 73112, USA",Oklahoma City,OK,HR & Staffing,10,95,http://www.otstaffing.com/,Oklahoma City,2026-06-15
Redmond Growth Consulting,sales@redmondgrowth.com,(918) 298-7766,"110 S Hartford Ave Ste 2505, Tulsa, OK 74120, USA",Tulsa,OK,Managed IT,10,95,http://redmondgrowth.com/,Tulsa,2026-06-15
Horizon Hospitality,scott@horizonhospitality.com,(913) 897-3100,"6800 College Blvd Ste 400, Overland Park, KS 66211, USA",Kansas City,MO,HR & Staffing,10,95,http://www.horizonhospitality.com/,Kansas City,2026-06-15
Staff Management | SMX,verifications@trueblue.com,(816) 704-1177,"7008 Universal Ave, Kansas City, MO 64120, USA",Kansas City,MO,HR & Staffing,10,95,http://www.staffmanagement.com/,Kansas City,2026-06-15
NGNSYS,engitech@oceanthemes.net,(832) 626-5185,"2200 Post Oak Blvd Ste 1000, Houston, TX 77056, USA",Houston,TX,Managed IT,10,95,https://ngnsys.com/,Houston,2026-06-15
AZ HR Hub,linda@azhrhub.com,(480) 508-1627,"3133 W Frye Rd Ste 101, Chandler, AZ 85226, USA",Phoenix,AZ,HR & Staffing,10,95,https://azhrhub.com/,Phoenix,2026-06-15
InterPeak Technology Solutions,info@interpeakmsp.com,(918) 900-9919,"15045 S Elwood Ave Ste 105, Glenpool, OK 74033, USA",Tulsa,OK,Managed IT,10,95,https://www.techsolutions.cc/,Tulsa,2026-06-15
"Brick Staffing, LLC",info@brickstaffing.com,(844) 506-9358,"44 Cook St #100, Denver, CO 80206, USA",Denver,CO,HR & Staffing,10,95,http://www.brickstaffing.com/,Denver,2026-06-15
Alamo Heights Consulting,admin@ahconsultingtx.com,(832) 887-6717,"8626 Tesoro Dr, San Antonio, TX 78217, USA",San Antonio,TX,Managed IT,10,95,https://www.ahconsultingtx.com/about,San Antonio,2026-06-15
Xvand Technology Corporation,technologyconsult@xvand0.onmicrosoft.com,(713) 729-7400,"7457 Harwin Dr. Ste 200, Houston, TX 77036, USA",Houston,TX,Managed IT,10,95,http://www.xvand.com/,Houston,2026-06-15
5280 Staffing Solutions,tammy@5280staffing.com,(888) 486-5280,"4640 N Pecos St Unit B, Denver, CO 80211, USA",Denver,CO,HR & Staffing,10,95,http://www.5280staffing.com/,Denver,2026-06-15
1840 & Company,flags@2x.png,(913) 213-3650,"5440 W 110th St Building 2, Suite 300, Overland Park, KS 66211, USA",Kansas City,MO,HR & Staffing,10,95,https://www.1840andco.com/,Kansas City,2026-06-15
Employnet,info@employnet.com,(512) 591-0650,"7801 N Lamar Blvd Ste B-154, Austin, TX 78752, USA",Austin,TX,HR & Staffing,10,95,http://www.employnet.com/,Austin,2026-06-15
Box Talent Agency,bookings@boxtalent.com,(405) 360-2263,"7009 N Classen Blvd, Oklahoma City, OK 73116, USA",Oklahoma City,OK,HR & Staffing,10,95,http://www.boxtalent.com/,Oklahoma City,2026-06-15
Motion Recruitment Atlanta,accessibility@motionrp.com,(470) 582-9700,"3560 Lenox Rd NE #1275, Atlanta, GA 30326, USA",Atlanta,GA,HR & Staffing,10,95,https://motionrecruitment.com/about/locations/atlanta-it-staffing-recruiting?utm_source=google-business&utm_medium=organic&utm_campaign=atlanta,Atlanta,2026-06-15
Payment 1 Loans - Del City,delcity@payment1.com,(405) 672-5155,"4720 SE 29th St, Del City, OK 73115, USA",Oklahoma City,OK,Merchant Services,10,95,https://payment1.com/location/del-city/,Oklahoma City,2026-06-15
Employment & Training Centers,info@etchouston.com,(713) 439-7530,"2000 Bering Dr #150, Houston, TX 77057, USA",Houston,TX,HR & Staffing,10,95,http://etchouston.com/,Houston,2026-06-15
Archon Resources,istock-1477488658@2x.png,(405) 778-8050,"3030 Northwest Expy #850, Oklahoma City, OK 73112, USA",Oklahoma City,OK,HR & Staffing,10,95,http://www.archonresources.com/,Oklahoma City,2026-06-15
Spherion Staffing & Recruiting,aliwhitaker@spherion.com,(918) 971-5900,"8596 E 101st St S Suite C, Tulsa, OK 74133, USA",Tulsa,OK,HR & Staffing,10,95,https://www.spherion.com/our-offices/tulsa_1206/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website,Tulsa,2026-06-15
Lever1,info@lever1.com,(816) 994-1300,"5200 Metcalf Ave Ste 300, Overland Park, KS 66202, USA",Kansas City,MO,HR & Staffing,10,95,http://www.lever1.com/,Kansas City,2026-06-15
"Quality Labor Management LLC, Austin",info@myqlm.com,(512) 608-3969,"11111 S I-35 Frontage Rd #105, Austin, TX 78747, USA",Austin,TX,HR & Staffing,10,95,https://myqlm.com/our-locations/austin-texas-construction-industrial-skilled-staffing-2/,Austin,2026-06-15
Barracuda Staffing and Consulting,info@barracudastaffing.com,(918) 488-0887,"802 W Main St Ste 105, Jenks, OK 74037, USA",Tulsa,OK,HR & Staffing,10,95,https://www.barracudastaffing.com/,Tulsa,2026-06-15
Trinity Employment Specialists,cory@trinityemployment.com,(918) 622-2588,"5416 S Yale Ave #205, Tulsa, OK 74135, USA",Tulsa,OK,HR & Staffing,10,95,http://www.trinityemployment.com/,Tulsa,2026-06-15
Stand-By Personnel - Skilled Division,resume@standbypersonnel.com,(918) 582-0522,"1531 E 2nd St S, Tulsa, OK 74120, USA",Tulsa,OK,HR & Staffing,10,95,https://www.standbypersonnel.com/skilled-division?utm_source=google&utm_medium=organic&utm_campaign=gmb,Tulsa,2026-06-15
Okie Staffing,impallari@gmail.com,(918) 505-1777,"5807 S Garnett Rd Ste F, Tulsa, OK 74146, USA",Tulsa,OK,HR & Staffing,10,95,http://www.okiestaffing.com/,Tulsa,2026-06-15
Oklahoma Staffing Specialists,info@oklahomastaffingspecialists.com,(918) 574-2292,"5649 S Mingo Rd Ste A, Tulsa, OK 74146, USA",Tulsa,OK,HR & Staffing,10,95,http://www.oklahomastaffingspecialists.com/,Tulsa,2026-06-15
Nesco Resource | Staffing Services,operations@nescoresource.com,(918) 259-1233,"4111 S Darlington Ave #520, Tulsa, OK 74135, USA",Tulsa,OK,HR & Staffing,10,95,http://nescoresource.com/,Tulsa,2026-06-15
Kansas City Managed IT,info@kansascityit.com,(816) 444-5085,"420 Bannister Rd Ste 400, Kansas City, MO 64131, USA",Kansas City,MO,Managed IT,10,95,https://kansascityit.com/?utm_source=gbp&utm_medium=organic&utm_id=ifocus,Kansas City,2026-06-15
Cirrus Payroll + HR,info@cirruspayroll.com,(918) 948-9923,"1874 S Boulder Ave, Tulsa, OK 74119, USA",Tulsa,OK,HR & Staffing,10,95,http://www.cirruspayroll.com/,Tulsa,2026-06-15
Tulsa's Green Country Staffing,bcozad@greencountrystaffing.com,(918) 250-9660,"6802 S Garnett Rd, Broken Arrow, OK 74012, USA",Tulsa,OK,HR & Staffing,10,95,http://www.greencountrystaffing.com/,Tulsa,2026-06-15
Advantage Tech,david@advantagetech.net,(913) 888-5050,"5330 College Blvd, Leawood, KS 66211, USA",Kansas City,MO,HR & Staffing,10,95,https://advantagetech.net/,Kansas City,2026-06-15
TechNeeqs - The Best Software Company Across USA,info@techneeqs.com,(336) 223-3131,"279 W Commerce St, Dallas, TX 75208, USA",Dallas,TX,Managed IT,10,95,http://www.techneeqs.com/,Dallas-Fort Worth,2026-06-15
Velo IT Group,you@company.com,(214) 214-8356,"750 North St. Paul Street #1100, Dallas, TX 75201, USA",Dallas,TX,Managed IT,10,95,https://www.velomethod.com/,Dallas-Fort Worth,2026-06-15
The Specialized Recruiting Group,phoenixazcentral@srgexpress.com,(602) 344-3110,"4001 N 3rd St #440, Phoenix, AZ 85012, USA",Phoenix,AZ,HR & Staffing,10,95,https://www.srgpros.com/us-arizona-phoenix-central,Phoenix,2026-06-15
"MDL Technology, LLC",info@mdltechnology.com,(816) 781-3006,"1600 Swift St Ste 300a, North Kansas City, MO 64116, USA",Kansas City,MO,Managed IT,10,95,https://www.mdltechnology.com/,Kansas City,2026-06-15
"HireQuest Direct - Kansas City, KS",kansascitykshqd@hirequestdirect.com,(913) 432-1200,"609 Central Ave, Kansas City, KS 66101, USA",Kansas City,MO,HR & Staffing,10,95,https://hirequestdirect.com/locations/hirequest-direct-kansas-city-ks,Kansas City,2026-06-15
Blue Oak Technology Solutions,support@blueoaktech.com,(816) 415-2310,"1529 Swift St, North Kansas City, MO 64116, USA",Kansas City,MO,Managed IT,10,95,https://www.blueoaktech.com/,Kansas City,2026-06-15
Valor Payroll Solutions,christina@valorpayrollsolutions.com,(918) 860-2708,"1408 S Denver Ave. Ste 427, Tulsa, OK 74119, USA",Tulsa,OK,HR & Staffing,10,95,https://valorpayrollsolutions.com/,Tulsa,2026-06-15
HireCall,jon.turner@hirecall.com,(918) 933-5555,"6506 S Lewis Ave Ste 115, Tulsa, OK 74136, USA",Tulsa,OK,HR & Staffing,10,95,http://www.hirecall.com/,Tulsa,2026-06-15
QPS Employment Group,kansascity@qpsemployment.com,(816) 278-1111,"405 E 19th Ave #2, North Kansas City, MO 64116, USA",Kansas City,MO,HR & Staffing,10,95,https://www.qpsemployment.com/locations/qps-kansas-city/,Kansas City,2026-06-15
Robert Half Recruiters & Employment Agency,sample@test.com,(877) 226-9735,"2375 E Camelback Rd Suite 290, Phoenix, AZ 85016, USA",Phoenix,AZ,HR & Staffing,10,95,https://www.roberthalf.com/us/en/locations/az-phoenix/2375-e-camelback-rd?utm_source=gmb_listing&utm_medium=organic&utm_campaign=local_listing,Phoenix,2026-06-15
Evernest Property Management Tulsa,support@evernest.co,(918) 290-4100,"233 S Detroit Ave #202, Tulsa, OK 74120, USA",Tulsa,OK,HR & Staffing,10,95,https://www.evernest.co/,Tulsa,2026-06-15
Sagiss,1_cta%20bg@2x-1.jpg,(214) 276-5976,"1616 Corporate Ct #140, Irving, TX 75038, USA",Dallas,TX,Managed IT,10,95,https://www.sagiss.com/,Dallas-Fort Worth,2026-06-15
Archon Resources,istock-1477488658@2x.png,(918) 508-7000,"6120 S Yale Ave #1225, Tulsa, OK 74136, USA",Tulsa,OK,HR & Staffing,10,95,https://www.archonresources.com/,Tulsa,2026-06-15
JoCo,jobs@joco.com,(918) 398-7593,"427 S Boston Ave, Tulsa, OK 74103, USA",Tulsa,OK,HR & Staffing,10,95,http://www.joco.com/,Tulsa,2026-06-15
Axcet HR Solutions,thelp@axcethr.com,(913) 383-2999,"10975 Grandview Dr Ste 200, Overland Park, KS 66210, USA",Kansas City,MO,HR & Staffing,10,95,https://www.axcethr.com/,Kansas City,2026-06-15
"Premier Staffing Solutions, LLC",info.resumepss@gmail.com,(913) 374-0797,"709 N 6th St, Kansas City, KS 66101, USA",Kansas City,MO,HR & Staffing,10,95,http://www.premierstaffingkc.com/,Kansas City,2026-06-15
Elwood Staffing,recruiter.name@elwoodstaffing.com,(816) 920-7660,"5506 N Antioch Rd, Kansas City, MO 64119, USA",Kansas City,MO,HR & Staffing,10,95,https://www.elwoodstaffing.com/contact-us-and-locations/MO/Kansas-City,Kansas City,2026-06-15
Adecco Staffing,u003e@adeccogroup.com,(816) 587-1233,"2427 Burlington St Ste 205, Kansas City, MO 64116, USA",Kansas City,MO,HR & Staffing,10,95,https://www.adecco.com/en-us/locations/missouri/kansas-city/adecco-staffing-kansas-city-mo-adus_020896,Kansas City,2026-06-15
"Vest Professional Placement Firm, LLC",recruiters@vestpros.com,(816) 282-6288,"12626 E US Hwy 40, Independence, MO 64055, USA",Kansas City,MO,HR & Staffing,10,95,http://www.vestpros.com/,Kansas City,2026-06-15
Clear way Consulting Services LLC,salesmanager@clearway-estates.com,(337) 591-1148,"401 E Sonterra Blvd Ste 313, San Antonio, TX 78258, USA",San Antonio,TX,Managed IT,10,95,http://clearwayuniversity.com/,San Antonio,2026-06-15
Express Employment Professionals,jobs.northlandkcmo@expresspros.com,(816) 994-2424,"301 Armour Rd, North Kansas City, MO 64116, USA",Kansas City,MO,HR & Staffing,10,95,https://www.expresspros.com/us-missouri-northland-kc,Kansas City,2026-06-15
Stand-by Personnel - Welding Division,weldingdivision@standbypersonnel.com,(918) 584-7018,"1531 E 2nd St S, Tulsa, OK 74120, USA",Tulsa,OK,HR & Staffing,10,95,https://www.standbypersonnel.com/welding-division?utm_source=google&utm_medium=organic&utm_campaign=gmb,Tulsa,2026-06-15
Labor Solutions of Kansas City,info@labor-solutions.com,(816) 221-0443,"1409 Swift St, North Kansas City, MO 64116, USA",Kansas City,MO,HR & Staffing,10,95,http://www.labor-solutions.com/,Kansas City,2026-06-15
Professional Oklahoma Educators,info@apoe.org,(405) 701-5990,"621 24th Ave SW, Norman, OK 73069, USA",Oklahoma City,OK,HR & Staffing,10,95,https://professionaloklahomaeducators.org/,Oklahoma City,2026-06-15
Staff Force Personnel Services - Phoenix,branch38@staff-force.com,(623) 471-9292,"8450 W McDowell Rd #105, Phoenix, AZ 85037, USA",Phoenix,AZ,HR & Staffing,10,95,http://staff-force.com/,Phoenix,2026-06-15
Workforce Solutions Capital Area (North),austinccs@wfscapitalarea.com,(512) 454-9675,"9001 N Interstate Hwy 35 Unit 110, Austin, TX 78753, USA",Austin,TX,HR & Staffing,10,95,http://www.wfscapitalarea.com/,Austin,2026-06-15
Lockbaud,connect@lockbaud.com,(816) 208-2888,"7667 NW Prairie View Rd Ste 206, Kansas City, MO 64151, USA",Kansas City,MO,Managed IT,10,95,https://lockbaud.com/,Kansas City,2026-06-15
"Peckham, Inc.",benefits@peckham.org,(877) 394-6501,"13450 N Black Cyn Hwy, Phoenix, AZ 85029, USA",Phoenix,AZ,HR & Staffing,10,95,http://www.peckham.org/,Phoenix,2026-06-15
Workforce Solutions Capital Area,austinccs@wfscapitalarea.com,(512) 381-4200,"3401 Webberville Rd #1000, Austin, TX 78702, USA",Austin,TX,HR & Staffing,10,95,http://www.wfscapitalarea.com/,Austin,2026-06-15
The Liberty Group,flags@2x.webp,(972) 458-7666,"5151 Belt Line Rd #420, Dallas, TX 75254, USA",Dallas,TX,HR & Staffing,10,95,http://www.thelibertygroup.com/,Dallas-Fort Worth,2026-06-15
ASAP Personnel Services,%20info@asapworksforme.com,(512) 648-2727,"3001 S Lamar Blvd #330, Austin, TX 78704, USA",Austin,TX,HR & Staffing,10,95,http://www.asapworksforme.com/?utm_campaign=gmb,Austin,2026-06-15
Skinner,payroll@eskinner.com,(214) 638-8044,"1500 Plantation Rd, Dallas, TX 75235, USA",Dallas,TX,HR & Staffing,10,95,http://www.skinneratwork.com/,Dallas-Fort Worth,2026-06-15
OKC House Buyers - Sell My House Fast OKC - We Buy Houses,icon-house-step1@2x.png,(405) 603-0779,"200 N Harvey Ave #1301, Oklahoma City, OK 73102, USA",Oklahoma City,OK,Merchant Services,10,95,https://www.okchousebuyers.com/,Oklahoma City,2026-06-15
Game 7 Staffing LLC,info@game7staffing.com,(512) 592-3900,"31 Navasota St Ste. 250, Austin, TX 78702, USA",Austin,TX,HR & Staffing,10,95,http://www.game7staffing.com/?utm_source=GMB&utm_medium=Organic,Austin,2026-06-15
Galaxy Payment Systems,info@galaxypaymentsystems.com,(281) 983-9000,"10101 Southwest Fwy Ste 300, Houston, TX 77074, USA",Houston,TX,Merchant Services,10,95,https://galaxypaymentsystems.com/,Houston,2026-06-15
SecureTech,info@getsecuretech.com,(210) 798-0889,"11220 W Loop 1604 N Bldg 1, San Antonio, TX 78254, USA",San Antonio,TX,Managed IT,10,95,https://www.getsecuretech.com/,San Antonio,2026-06-15
